Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species_List
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_03_M.wav,09 June 2025 19:15:38.710,09 June 2025 19:15:39.333,1,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Sc,17812.5,10031.25,0.623,10031.25,17812.5,7781.25,0.6250764816597935,0.10372104098099294,14114.936440677966,2176.2948722371434,14203.125,13921.875,0.5589225589225589,1.7757009345794392,0.5631578947368421,12468.75,14156.25,16031.25,3515.625,0.674576742051844,0.633465783982913,0.6231927870560195,0.567074421730632,0.75,0.0,0.0,0.0,12660.25641025641,12660.25641025641,18064.024390243903,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,93.54838709677419,3.225806451612903,3.225806451612903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.148,0.0,0.0026666666666666666,0.24666666666666667,0.0,0.42133333333333334,0.016,0.08,0.08533333333333333,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_04_M.wav,09 June 2025 19:15:39.824,09 June 2025 19:15:40.229,2,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,14718.75,8906.25,0.405,8906.25,10125.0,5812.5,0.6822763569151602,0.14945173063667314,12444.39935064935,1690.0612824939512,12468.75,11812.5,0.49206349206349204,1.6526315789473685,0.8796296296296297,11531.25,13687.5,14250.0,2531.25,0.7017366654521977,0.6846557685674318,0.623158054717673,0.7185307121582308,0.95625,0.0,0.0,0.0,3136.7481203007537,25916.35338345865,25674.83388704319,-37635.86956521739,-0.6821905321611476,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,59.77011494252874,33.33333333333333,6.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.20533333333333334,0.0,0.009333333333333334,0.08,0.0,0.16666666666666666,0.12666666666666668,0.176,0.236,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_05_M.wav,09 June 2025 19:15:40.787,09 June 2025 19:15:41.273,3,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Sc,15187.5,8156.25,0.486,8343.75,15187.5,7031.25,0.6877986671927825,0.13554588964074116,11191.915760869566,2366.687582179885,11531.25,11671.875,0.6024096385542169,1.8620689655172413,0.5493827160493827,8437.5,11437.5,13687.5,5085.9375,0.7132811369103659,0.6551207981830612,0.7071731328381535,0.6739077128363301,0.675,0.0,0.0,0.0,13969.289638932498,15617.641287284143,28642.66717325228,-18750.0,-1.5276089159067883,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,6.0,3.0,7.0,3.0,57.74647887323944,23.943661971830984,18.30985915492958,4.0,0.336,0.032,10.5,0.137,0.1724267960614011,0.043,8.23045267489712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.2613333333333333,0.0,0.009333333333333334,0.042666666666666665,0.0,0.4066666666666667,0.021333333333333333,0.17333333333333334,0.08533333333333333,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_09_M.wav,09 June 2025 19:15:41.906,09 June 2025 19:15:42.034,4,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Sf,12750.0,9468.75,0.128,9468.75,12750.0,3281.25,0.6119690148245595,0.09122954818984023,10496.25,905.9051067854734,10031.25,11109.375,0.29535864978902954,1.3465346534653466,0.7426470588235294,9937.5,10031.25,11062.5,1125.0,0.591840591138416,0.6402224905531978,0.6600134138385488,0.5591543010490992,0.3,0.0,0.0,0.0,25595.238095238095,25595.238095238095,36134.45378151261,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,69.6969696969697,15.151515151515152,15.151515151515152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.08933333333333333,0.0,0.004,0.10266666666666667,0.0,0.18266666666666667,0.030666666666666665,0.5346666666666666,0.056,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_11_M.wav,09 June 2025 19:15:42.511,09 June 2025 19:15:43.103,5,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,17625.0,7406.25,0.592,8250.0,17625.0,10218.75,0.5701110995123103,0.08203055454859358,11407.36607142857,2935.4384914875927,11484.375,12515.625,0.8164794007490637,2.3797468354430378,0.46808510638297873,7500.0,11437.5,13500.0,5273.4375,0.6237445169628737,0.5499146206164844,0.5432010188500446,0.5613560832737997,1.125,1.0,0.0,1.0,16069.417631917631,19604.649292149297,27886.066398390343,-17836.85064935065,-1.5633963050201092,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,76.61290322580645,17.741935483870968,5.64516129032258,3.0,0.475,0.096,4.947916666666666,0.2855,0.2679934700697015,0.2855,5.0675675675675675,1.6891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.058666666666666666,0.0,0.06666666666666667,0.324,0.0,0.10933333333333334,0.048,0.208,0.18533333333333332,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_13_M.wav,09 June 2025 19:15:43.565,09 June 2025 19:15:44.424,6,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,15375.0,5812.5,0.859,6281.25,13875.0,9562.5,0.62011405185385,0.0939092467451343,10178.819444444445,3272.8759417855017,9703.125,10593.75,0.9026548672566371,2.6451612903225805,0.4527027027027027,7218.75,9656.25,13312.5,6070.3125,0.6376186476406903,0.6335352871483989,0.6012652147866484,0.6072639120626282,1.059375,0.0,0.0,0.0,8943.822094055015,13524.56743566992,18269.751082251085,-26339.285714285714,-0.6936312275295328,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,76.88172043010752,16.129032258064516,6.989247311827956,2.0,0.698,0.698,1.0,0.698,0.0,0.698,2.3282887077997674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.05466666666666667,0.0,0.06266666666666666,0.11066666666666666,0.0,0.33066666666666666,0.028,0.2866666666666667,0.12666666666666668,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_14_M.wav,09 June 2025 19:15:44.895,09 June 2025 19:15:45.513,7,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,16031.25,7781.25,0.618,11437.5,16031.25,8250.0,0.6025762932364599,0.08494918015500269,12177.083333333334,2425.6522962906247,12562.5,11906.25,0.6929133858267716,2.0602409638554215,0.7134502923976608,10031.25,12562.5,14437.5,4125.0,0.5856017855209618,0.5779105469310614,0.6276452834162665,0.6197328849298099,0.965625,0.0,0.0,0.0,7206.357758620689,19383.081896551725,22679.227941176472,-88281.25,-0.2568974492451848,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,60.451977401129945,22.033898305084744,17.51412429378531,2.0,0.554,0.554,1.0,0.554,0.0,0.554,3.236245954692557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.30666666666666664,0.0,0.028,0.15333333333333332,0.0,0.136,0.08,0.14933333333333335,0.14666666666666667,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_16_M.wav,09 June 2025 19:15:45.926,09 June 2025 19:15:46.758,8,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,21000.0,8437.5,0.832,8437.5,9843.75,12562.5,0.5684641851067953,0.078665643909429,15106.289808917198,4038.554087665292,15000.0,14718.75,0.8535031847133758,2.488888888888889,0.8571428571428571,15375.0,20062.5,14906.25,7781.25,0.5776894125662014,0.5644404739319079,0.52710299558566,0.6043873140495813,2.371875,0.0,0.0,0.0,1532.4519230769245,28647.264194139196,43592.92328042328,-24033.583603896106,-1.8138336753640183,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,39.053254437869825,56.80473372781065,4.142011834319527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.14133333333333334,0.0,0.009333333333333334,0.22,0.0,0.196,0.12,0.05333333333333334,0.26,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A28\ROCCA\Sf_PMC_20_A28_145459_Whistle_17_M.wav,09 June 2025 19:15:47.257,09 June 2025 19:15:47.716,9,PMC_20_A28,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,14812.5,9750.0,0.459,9750.0,14812.5,5062.5,0.5604086566771143,0.06849512815757375,11311.422413793103,1185.0633687491495,11062.5,12281.25,0.4122137404580153,1.5192307692307692,0.6582278481012658,11437.5,10500.0,11531.25,1078.125,0.568961371840141,0.5600889551842501,0.5602098835584975,0.5519918332421619,0.69375,0.0,0.0,0.0,11202.242524916945,16943.521594684385,25213.913690476194,-17633.928571428572,-1.4298523206751057,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,60.0,34.73684210526316,5.263157894736842,3.0,0.171,0.165,1.0363636363636364,0.168,0.004242640687119289,0.168,6.5359477124183005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.124,0.0,0.02,0.17866666666666667,0.0,0.20933333333333334,0.07866666666666666,0.24266666666666667,0.14666666666666667,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
