Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species_List
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A36\ROCCA\Sf_PMC_20_A36_214959_Whistle_02_M.wav,09 June 2025 20:05:07.663,09 June 2025 20:05:07.925,1,PMC_20_A36,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,24000.0,13875.0,0.262,23062.5,24000.0,10125.0,0.48994459012651015,0.0972248003456222,17047.5,3220.772472385709,15375.0,18937.5,0.5346534653465347,1.7297297297297298,0.9609375,15281.25,14156.25,15562.5,4453.125,0.470202700284169,0.5020177505743523,0.4870410754620526,0.5011558949683417,1.565625,0.0,0.0,0.0,4099.854227405246,74599.12536443149,91815.47619047618,-71968.00595238096,-1.2757818557766862,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,44.0,54.0,2.0,2.0,0.112,0.112,1.0,0.112,0.0,0.112,7.633587786259541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.05733333333333333,0.0,0.2693333333333333,0.23066666666666666,0.0,0.03333333333333333,0.104,0.14533333333333334,0.16,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A36\ROCCA\Sf_PMC_20_A36_214959_Whistle_03_M.wav,09 June 2025 20:05:08.375,09 June 2025 20:05:09.479,2,PMC_20_A36,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,19312.5,6000.0,1.104,8250.0,14250.0,13312.5,0.4958935686310793,0.1292899518293148,9605.76923076923,3691.077462253784,7968.75,12656.25,1.0518518518518518,3.21875,0.5789473684210527,7218.75,18000.0,7031.25,4617.1875,0.5254610467806107,0.5255214709677184,0.48547261242685497,0.44558302861518345,3.421875,0.0,0.0,0.0,5517.814009661835,32253.925120772947,42960.16483516483,-72820.72368421052,-0.5899442172734098,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,11.0,3.0,13.0,1.0,52.53164556962025,30.063291139240505,17.405063291139243,4.0,0.475,0.224,2.120535714285714,0.32366666666666666,0.13323788250093638,0.272,3.623188405797101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.20533333333333334,0.0,0.10133333333333333,0.164,0.0,0.17466666666666666,0.04666666666666667,0.14933333333333335,0.15866666666666668,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A36\ROCCA\Sf_PMC_20_A36_215500_Whistle_01_M.wav,09 June 2025 20:05:10.190,09 June 2025 20:05:10.595,3,PMC_20_A36,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,10031.25,8906.25,0.405,10031.25,9093.75,1125.0,0.5344293466781559,0.09814714816353114,9366.477272727272,388.98129052435223,9281.25,9468.75,0.1188118811881188,1.1263157894736842,1.1030927835051547,9750.0,9281.25,9000.0,750.0,0.54125306418939,0.5130688093378698,0.5634327008192609,0.5196036693391969,0.121875,0.0,0.0,0.0,-2232.1428571428573,3136.748120300752,17187.5,-17001.488095238095,-1.0109409190371992,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,10.0,2.0,10.0,30.057803468208093,41.61849710982659,28.32369942196532,2.0,0.021,0.021,1.0,0.021,0.0,0.021,4.938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.19466666666666665,0.0,0.12666666666666668,0.10133333333333333,0.0,0.232,0.13466666666666666,0.10933333333333334,0.10133333333333333,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A36\ROCCA\Sf_PMC_20_A36_215500_Whistle_02_M.wav,09 June 2025 20:05:10.981,09 June 2025 20:05:11.456,4,PMC_20_A36,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,12468.75,9187.5,0.475,12468.75,9562.5,3281.25,0.5613713780527598,0.09013353383145352,9893.75,832.6398682989536,9562.5,10828.125,0.30303030303030304,1.3571428571428572,1.303921568627451,10312.5,9562.5,9187.5,1007.8125,0.5684863803804293,0.55335926096973,0.5257718843255976,0.5979087644787061,0.3,0.0,0.0,0.0,-6214.887640449439,7689.606741573034,16406.25,-19959.677419354837,-0.821969696969697,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,9.0,4.0,8.0,28.235294117647058,47.647058823529406,24.11764705882353,2.0,0.054,0.054,1.0,0.054,0.0,0.054,4.2105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.25066666666666665,0.0,0.034666666666666665,0.05466666666666667,0.0,0.36,0.09466666666666666,0.11733333333333333,0.088,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
C:\Users\PMC\Documents\Analises_acusticas_PMC\PMC\PMC_20\PMC_A36\ROCCA\Sf_PMC_20_A36_215500_Whistle_09_M.wav,09 June 2025 20:05:12.095,09 June 2025 20:05:12.222,5,PMC_20_A36,192000.0,1,PMC,PMC,Petrobras,S_frontalis,BS,Ambig,14437.5,12937.5,0.127,14437.5,12937.5,1500.0,0.5192034396563546,0.13481953735980662,14013.75,468.0619950925304,14250.0,13687.5,0.1095890410958904,1.1159420289855073,1.1159420289855073,14437.5,14250.0,13687.5,750.0,0.40958421090387753,0.5867343879424903,0.48883544968678816,0.6099295815510092,0.15,0.0,0.0,0.0,-11951.264880952382,11951.264880952382,0.0,-20487.882653061224,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,18.91891891891892,62.16216216216216,18.91891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWAtlWhist.model,0.08666666666666667,0.0,0.04133333333333333,0.33066666666666666,0.0,0.324,0.10933333333333334,0.014666666666666666,0.09333333333333334,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)
