Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,KnownSpecies,EncounterNumber
0.48058549783549787,0.02311635944700461,0.03517857142857143,0.27001026392961874,0.035238095238095235,0.025454545454545455,0.13041666666666665,Delphinus,0,Delphinus,PMC_12_A15
0.4755654761904762,0.06452380952380952,0.015089285714285715,0.28,0.05267857142857142,0.04214285714285714,0.07,Delphinus,1,Delphinus,PMC_12_A15
0.3023119658119658,0.08051282051282051,0.0352,0.28820833333333334,0.06967948717948719,0.0675,0.15658739316239317,Delphinus,2,Delphinus,PMC_12_A15
0.5843266081635217,0.07514211653555916,0.035277777777777776,0.028758204141188872,0.07158730158730159,0.025523679417122035,0.17938431237752883,Delphinus,3,Delphinus,PMC_12_A15
0.6976732295482296,0.11683531746031744,0.0001282051282051282,0.04694444444444445,0.0063675213675213685,0.05166666666666666,0.08038461538461539,Delphinus,4,Delphinus,PMC_12_A15
0.6800474363276298,0.02028294573643411,0.015333333333333332,0.01767241379310345,0.029282945736434113,0.13662721910271292,0.10075370597035224,Delphinus,5,Delphinus,PMC_12_A15
0.5099583333333334,0.035,0.030625,0.21179166666666668,0.11,0.055625,0.047,Delphinus,6,Delphinus,PMC_12_A15
0.4697179865376537,0.17639787247636082,0.031303571428571424,0.040172413793103455,0.06737658126756964,0.05061401337569141,0.16441756112104947,Delphinus,7,Delphinus,PMC_12_A15
0.5049711290001987,0.13074947823494334,0.015,0.010232558139534885,0.020769230769230766,0.0692749329159213,0.24900267094017095,Delphinus,8,Delphinus,PMC_12_A15
0.29555555555555557,0.1392857142857143,0.035,0.21736111111111112,0.10126984126984126,0.07041666666666667,0.1411111111111111,Delphinus,9,Delphinus,PMC_12_A15
0.44020771911015816,0.1151923076923077,0.01,0.01644230769230769,0.02,0.24178861788617886,0.15636904761904763,Delphinus,10,Delphinus,PMC_12_A15
0.33977421271538916,0.055,0.05857142857142858,0.026547619047619046,0.015,0.44678134284016635,0.05832539682539682,S_longirostris,11,Delphinus,PMC_12_A15
0.5325,0.02,0.005,0.01,0.0425,0.37,0.02,Delphinus,12,Delphinus,PMC_12_A15
0.7118571428571427,0.010238095238095237,0.013500000000000002,0.025238095238095237,0.04,0.16916666666666663,0.03,Delphinus,13,Delphinus,PMC_12_A15
0.37674557449608687,0.17608451617826618,0.010625,0.02617126043355551,0.10240167124542124,0.03577472988077496,0.2721972477658953,Delphinus,14,Delphinus,PMC_12_A15
0.35060557644110274,0.06533333333333333,0.03944444444444445,0.0825,0.11599999999999999,0.02986810776942356,0.3162485380116959,Delphinus,15,Delphinus,PMC_12_A15
0.3862552447552447,0.145,0.0925,0.055,0.07586013986013987,0.08038461538461539,0.165,Delphinus,16,Delphinus,PMC_12_A33
0.2703333333333333,0.05640625,0.02,0.13033333333333333,0.05,0.2594270833333333,0.21350000000000002,Delphinus,17,Delphinus,PMC_12_A33
0.3761507936507937,0.045,0.01,0.06884920634920634,0.025,0.35,0.125,Delphinus,18,Delphinus,PMC_12_A33
0.4237651155323789,0.10631262939958593,0.07616883116883116,0.055,0.10872294372294374,0.18788762303340306,0.04214285714285714,Delphinus,19,Delphinus,PMC_12_A33
0.28691964285714283,0.12541666666666668,0.04175595238095238,0.06114583333333334,0.3289285714285714,0.08,0.07583333333333334,S_frontalis,20,Delphinus,PMC_12_A33
0.463637987012987,0.08556565656565657,0.05295454545454545,0.02063311688311688,0.21716603535353535,0.1260704365079365,0.03397222222222222,Delphinus,21,Delphinus,PMC_12_A33
0.566895358739621,0.04053977272727272,0.03216666666666666,0.05590419416648924,0.1322026515151515,0.09099726775956285,0.08129408842523596,Delphinus,22,Delphinus,PMC_12_A33
0.08629310344827587,0.2332435344827586,0.020484913793103448,0.0253125,0.3793610547667343,0.14643635902636917,0.10886853448275861,S_frontalis,23,Delphinus,PMC_12_A33
0.22064081996434937,0.0941299019607843,0.04278409090909091,0.04091911764705882,0.4016085115864528,0.06284313725490195,0.13707442067736186,S_frontalis,24,Delphinus,PMC_12_A33
0.295,0.165,0.365,0.005,0.095,0.0,0.075,S_bredanensis,25,Delphinus,PMC_12_A33
0.24,0.025,0.455,0.005,0.175,0.0,0.1,S_bredanensis,26,Delphinus,PMC_12_A33
0.23,0.005,0.71,0.0,0.0,0.005,0.05,S_bredanensis,27,Delphinus,PMC_12_A33
0.33644466403162054,0.1153409090909091,0.015227272727272726,0.020454545454545454,0.4250879446640316,0.04021739130434783,0.047227272727272736,S_frontalis,28,Delphinus,PMC_12_A33
0.29,0.1261904761904762,0.12319047619047618,0.026000000000000002,0.1499047619047619,0.09,0.19471428571428573,Delphinus,29,Delphinus,PMC_12_A33
0.5762850482850482,0.11065476190476192,0.025,0.0002380952380952381,0.2019604562104562,0.054662004662004667,0.0311996336996337,Delphinus,30,Delphinus,PMC_12_A33
0.08,0.015,0.85,0.005,0.025,0.005,0.02,S_bredanensis,31,Delphinus,PMC_12_A33
0.095,0.005,0.49,0.095,0.095,0.04,0.18,S_bredanensis,32,Delphinus,PMC_12_A33
0.2825,0.12,0.06,0.12,0.13,0.1075,0.18,Delphinus,33,Delphinus,PMC_12_A33
0.36,0.085,0.07,0.015,0.285,0.07,0.115,Delphinus,34,Delphinus,PMC_12_A33
0.42391666666666666,0.09,0.03,0.07,0.061916666666666675,0.04166666666666666,0.2825,Delphinus,35,Delphinus,PMC_12_A33
0.195,0.14,0.035,0.085,0.15,0.055,0.34,T_truncatus,36,Delphinus,PMC_12_A33
0.34166666666666673,0.14,0.055,0.125,0.06166666666666667,0.09666666666666668,0.18,Delphinus,37,Delphinus,PMC_12_A33
0.26895833333333335,0.12416666666666666,0.04,0.1,0.284375,0.0125,0.17,S_frontalis,38,Delphinus,PMC_12_A33
0.294451092512139,0.07378935599284436,0.05,0.38549999999999995,0.08940199335548173,0.05174127906976745,0.05511627906976744,S_clymene,39,Delphinus,PMC_12_A33
0.18,0.11,0.02,0.21,0.125,0.1,0.255,T_truncatus,40,Delphinus,PMC_12_A33
0.5001410578419216,0.03637452561669829,0.10644916239674306,0.04707983193277311,0.1088710359183744,0.15149905123339658,0.04958533506009287,Delphinus,41,Delphinus,PMC_12_A33
0.09050000000000001,0.14408333333333334,0.0,0.095,0.235,0.29,0.14541666666666667,S_longirostris,42,Delphinus,PMC_12_A33
0.5939523914240894,0.04616204975579976,0.11517857142857142,0.020560994560994562,0.12155555555555556,0.08178686584641773,0.020803571428571428,Delphinus,43,Delphinus,PMC_12_A33
0.46401440635866864,0.049706439393939386,0.05666666666666667,0.07561847988077496,0.15870265151515153,0.06166393442622951,0.1336274217585693,Delphinus,44,Delphinus,PMC_12_A33
0.4527916666666667,0.025125,0.021666666666666664,0.0,0.3597619047619047,0.05523809523809524,0.08541666666666665,Delphinus,45,Delphinus,PMC_12_A33
0.5278333333333334,0.065,0.0405,0.015,0.26166666666666666,0.005,0.085,Delphinus,46,Delphinus,PMC_12_A33
0.27,0.035,0.66,0.01,0.005,0.005,0.015,S_bredanensis,47,Delphinus,PMC_12_A33
0.115,0.155,0.03,0.125,0.16,0.135,0.28,T_truncatus,48,Delphinus,PMC_12_A33
