Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,EncounterNumber,KnownSpecies
0.350654752598443,0.04232468394103224,0.029100460389761197,0.34054886075517204,0.09756535834715016,0.033005044843980515,0.10680083912446095,Delphinus,0,PMC_12_A15,Delphinus
0.38583463853950223,0.057748623003969976,0.03224893247793576,0.2578919140267202,0.1188869570307689,0.051277824086728804,0.09611111083437422,Delphinus,1,PMC_12_A15,Delphinus
0.2513662006188084,0.1265354250506142,0.027340128234273026,0.3119847849797809,0.10759933123387418,0.0744612473945595,0.10071288248808999,S_clymene,2,PMC_12_A15,Delphinus
0.5251255902598901,0.11359952373555426,0.04043230455249839,0.04189849988182798,0.050967871482577455,0.0696755046810986,0.15830070540655325,Delphinus,3,PMC_12_A15,Delphinus
0.48848544409637623,0.11584014364861508,0.014281690617999457,0.04639921898826814,0.021729399766409516,0.12267550540148545,0.19058859748084625,Delphinus,4,PMC_12_A15,Delphinus
0.6853763133115207,0.02440846112446275,0.017331944396046912,0.016569644591543142,0.08408271033376621,0.11732499820686411,0.05490592803579617,Delphinus,5,PMC_12_A15,Delphinus
0.36713572494311747,0.048027943426755246,0.029615255416947477,0.28087637048186986,0.12692002767388635,0.04069488377305917,0.10672979428436444,Delphinus,6,PMC_12_A15,Delphinus
0.437857982326942,0.12865644323393682,0.03191760251948237,0.05151200790914897,0.04365006535010571,0.07006425416737025,0.23634164449301398,Delphinus,7,PMC_12_A15,Delphinus
0.4800635456818827,0.0998286392902932,0.015495880875795062,0.01850870331703717,0.04735097389392756,0.06736377034672392,0.27138848659434034,Delphinus,8,PMC_12_A15,Delphinus
0.23498502491601753,0.17672136492884702,0.02979825254326864,0.12030382530750591,0.05141684605453447,0.0956966430421102,0.2910780432077163,T_truncatus,9,PMC_12_A15,Delphinus
0.5541986408482646,0.10248834137032774,0.01219307277363018,0.024655532821119513,0.018329551795740497,0.10982885373442493,0.1783060066564926,Delphinus,10,PMC_12_A15,Delphinus
0.44173251977913475,0.04278287496178323,0.031039017599282202,0.026068142468167098,0.044465048601100635,0.3670618796978723,0.04685051689265986,Delphinus,11,PMC_12_A15,Delphinus
0.6408891778043028,0.012111627056146336,0.007903725793557328,0.06454404632752282,0.02024991732176121,0.22634976342315022,0.02795174227355931,Delphinus,12,PMC_12_A15,Delphinus
0.6121086845742212,0.02398312933426462,0.01811546416638183,0.05671473181967328,0.042100442483777076,0.2097478331679825,0.0372297144536995,Delphinus,13,PMC_12_A15,Delphinus
0.3427537392152852,0.1766613768791822,0.02199347925449911,0.049859582857945804,0.05162529737863588,0.07132169945006875,0.2857848249643831,Delphinus,14,PMC_12_A15,Delphinus
0.4442546542994263,0.11024628831914265,0.028436448675704218,0.07932233317472911,0.15274094145973321,0.06639056121142435,0.11860877285984026,Delphinus,15,PMC_12_A15,Delphinus
0.4047528602644316,0.1552541342310551,0.08786600328557959,0.06527763383327298,0.10741070797189627,0.06099597808501702,0.11844268232874744,Delphinus,16,PMC_12_A33,Delphinus
0.29103830770413774,0.10483441239041502,0.026654036645336686,0.1291217357663277,0.04843004028767315,0.18651401275269894,0.21340745445341086,Delphinus,17,PMC_12_A33,Delphinus
0.37451800188950524,0.0643578467291325,0.015899375576197118,0.08090907046909802,0.04133383744906839,0.2832713130515611,0.1397105548354376,S_longirostris,18,PMC_12_A33,Delphinus
0.3482387348907347,0.11516937758566122,0.07155935974199536,0.03286989616311791,0.21037928868319286,0.15120855959334825,0.0705747833419497,Delphinus,19,PMC_12_A33,Delphinus
0.2660510753033465,0.11509805388210156,0.04868858770347715,0.12554072360186289,0.2621308456485304,0.06533536867037106,0.1171553451903105,Delphinus,20,PMC_12_A33,Delphinus
0.45199209787494593,0.08031208332951753,0.062131051636875066,0.0336236232346423,0.17866154413042584,0.1264211915892849,0.06685840820430838,Delphinus,21,PMC_12_A33,Delphinus
0.6135147449979581,0.05479860906950634,0.03856241068032424,0.03267116937191629,0.1051603539132155,0.09141520976050385,0.06387750220657576,Delphinus,22,PMC_12_A33,Delphinus
0.06614039380537222,0.16824148087752816,0.026278897115152033,0.027725350658231906,0.38174304688463445,0.19205680151148727,0.13781402914759394,S_frontalis,23,PMC_12_A33,Delphinus
0.20288908042597925,0.0739150637077843,0.07481252382874908,0.026152455310931872,0.4042963623212999,0.12080470182656448,0.09712981257869119,S_frontalis,24,PMC_12_A33,Delphinus
0.20350416666666665,0.20501909414340452,0.20515022988505746,0.02224911877394636,0.11596086754241927,0.02325,0.22486652298850576,T_truncatus,25,PMC_12_A33,Delphinus
0.17086708287990277,0.03191179437464976,0.4765641916436739,0.019072307179743463,0.2092776399709305,0.010331753659260465,0.08197523029183908,S_bredanensis,26,PMC_12_A33,Delphinus
0.12229592592592593,0.011068918794570967,0.7349657832988268,0.014463204508856681,0.061011111111111106,0.007395925925925926,0.04879913043478261,S_bredanensis,27,PMC_12_A33,Delphinus
0.36047639746217097,0.06838388986916147,0.011907308912360273,0.00896662701303467,0.40864004639023055,0.056973030086265586,0.0846527002667766,S_frontalis,28,PMC_12_A33,Delphinus
0.2324182260250902,0.13762577582356314,0.10010365679475353,0.05899105896453817,0.1727931434661739,0.10529847978751564,0.1927696591383655,S_frontalis,29,PMC_12_A33,Delphinus
0.4763057651194762,0.10011763609721158,0.0385872624433193,0.0039043814393441407,0.24160656834420746,0.06215889507358017,0.07731949148286124,S_frontalis,30,PMC_12_A33,Delphinus
0.06263748663101605,0.11977005882012275,0.6583951027702051,0.004295993179880648,0.03219208556149733,0.01192843137254902,0.11078084166472912,S_bredanensis,31,PMC_12_A33,Delphinus
0.07602767136183688,0.05704597655195174,0.5544278209762226,0.04839440888833453,0.11148810827295381,0.03623000767061486,0.11638600627808557,S_bredanensis,32,PMC_12_A33,Delphinus
0.47867606704304333,0.07633131022871135,0.04947280134196628,0.09464149176153838,0.12990797962743303,0.0919982853292888,0.07897206466801883,Delphinus,33,PMC_12_A33,Delphinus
0.3370789352110054,0.16756747770237132,0.07122448607447678,0.017970334192753335,0.24180540177698456,0.06217510264217556,0.10217826240023309,Delphinus,34,PMC_12_A33,Delphinus
0.5296037996457434,0.07529564058764522,0.0356258735799599,0.05886974682656195,0.1447891614070664,0.043600507728757565,0.11221527022426556,Delphinus,35,PMC_12_A33,Delphinus
0.35257702899427107,0.1103677239358627,0.035732905652049445,0.06898293846456853,0.1936058572134636,0.0556288743163844,0.1831046714234003,Delphinus,36,PMC_12_A33,Delphinus
0.43936265949538295,0.10231428778738114,0.04705780817608817,0.11209138555871856,0.12574568195956654,0.07170807143249698,0.10172010559036564,Delphinus,37,PMC_12_A33,Delphinus
0.3945201128298773,0.2766372385243286,0.019690030402352288,0.04067789265515752,0.11883175385095306,0.04390221197912799,0.1057407597582033,S_attenuata,38,PMC_12_A33,Delphinus
0.28069084383411963,0.08078178224269086,0.04746963808698222,0.3324320041972166,0.09122008956279659,0.07385159966545736,0.09355404241073677,S_clymene,39,PMC_12_A33,Delphinus
0.3579033485094579,0.09528222780297776,0.024987289833143585,0.14974334734797637,0.1446009412920105,0.06776083826592998,0.15972200694850394,Delphinus,40,PMC_12_A33,Delphinus
0.4641744161532292,0.05494888021186808,0.09242212907030904,0.044539362528447486,0.12222939645029914,0.1663042270762482,0.055381588509598886,Delphinus,41,PMC_12_A33,Delphinus
0.16484594181273965,0.1415342584040774,0.020340595494208868,0.15732665773320426,0.18211783982434904,0.2153419210597825,0.11849278567163832,S_longirostris,42,PMC_12_A33,Delphinus
0.5637474035133574,0.07710598911202446,0.09604204586310675,0.026034319612591762,0.07357185919207414,0.10223217462268464,0.061266208084160986,Delphinus,43,PMC_12_A33,Delphinus
0.4025911028631155,0.06597987273061615,0.07294466206576103,0.04303773242541202,0.1883490503855903,0.13822490362984124,0.08887267589966377,Delphinus,44,PMC_12_A33,Delphinus
0.3484327411558086,0.034925897650970913,0.04001090282442045,0.003718889754451826,0.3860680683930663,0.08862578302379136,0.09821771719749066,S_frontalis,45,PMC_12_A33,Delphinus
0.3795644610781199,0.11762798562124979,0.023649631257231137,0.011016947734728336,0.3551306505293167,0.02182896849544731,0.09118135528390689,S_frontalis,46,PMC_12_A33,Delphinus
0.2097465183150183,0.026144556805513326,0.671973457665935,0.009115714285714286,0.03082541575091575,0.006502763584241846,0.04569157359266161,S_bredanensis,47,PMC_12_A33,Delphinus
