Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,KnownSpecies,EncounterNumber
0.17259994425863992,0.053323021181716834,0.038,0.4308256410256411,0.1925154960981048,0.014301282051282052,0.09843461538461538,S_clymene,0,Delphinus,PMC_12_A15
0.31383737717169663,0.03930203809701176,0.056454438609652415,0.2337185658503042,0.2258977961221862,0.03663133667787802,0.09415844747127095,Delphinus,1,Delphinus,PMC_12_A15
0.2860785703911545,0.09401966552781649,0.02033438016822772,0.343786877971996,0.10301527929685826,0.0928411323995716,0.05992409424437556,S_clymene,2,Delphinus,PMC_12_A15
0.4931441825174786,0.14317980407948155,0.03615927416881365,0.03169616327300151,0.06064369730024235,0.08323175107287169,0.15194512758811068,Delphinus,3,Delphinus,PMC_12_A15
0.6150218916715526,0.11987311066527226,0.010936649922619283,0.011994484237036416,0.014848878008823558,0.12174305553226011,0.105581929962436,Delphinus,4,Delphinus,PMC_12_A15
0.6713334793043436,0.04344161986095545,0.01215465721912368,0.013260410279797925,0.14667306488994128,0.10901344175790612,0.004123326687931951,Delphinus,5,Delphinus,PMC_12_A15
0.24016278623337445,0.04384680025856496,0.04944444444444445,0.2749978129713424,0.2313713316095669,0.025190883952648655,0.1349859405300582,S_clymene,6,Delphinus,PMC_12_A15
0.4398233698115258,0.13813697965635804,0.0247053702223422,0.04284071343483789,0.03696962984898652,0.059816247751838636,0.2577076892741109,Delphinus,7,Delphinus,PMC_12_A15
0.4980226457339251,0.08857044389987033,0.0216368936338108,0.02214969174088523,0.04060177339774836,0.08227286032187112,0.24674569127188897,Delphinus,8,Delphinus,PMC_12_A15
0.110415048345611,0.2995474730583426,0.03814564270152506,0.13460470085470086,0.036448531051216475,0.09706722808781633,0.28377137590078766,S_attenuata,9,Delphinus,PMC_12_A15
0.704180540761241,0.06335259483442714,0.0020931677018633543,0.014108395374304198,0.0025371202433542585,0.05641546354195348,0.15731271754285658,Delphinus,10,Delphinus,PMC_12_A15
0.5747749583308244,0.023785447842155888,0.029157782515991472,0.03992930733996585,0.07186296222891672,0.21526050954955864,0.045229032192587185,Delphinus,11,Delphinus,PMC_12_A15
0.842381808969905,0.002245736801844651,0.0010577468260815975,0.005077082912145922,0.006621263917100899,0.1273294239739796,0.015286936598942452,Delphinus,12,Delphinus,PMC_12_A15
0.8055866239239433,0.011262913528923902,0.014234705592914548,0.034835850658556176,0.023720467344357926,0.08803837279413407,0.022321066157170166,Delphinus,13,Delphinus,PMC_12_A15
0.39496493510791186,0.16251160008607377,0.017167460317460317,0.021003013231221078,0.011050625640493722,0.07251443184008974,0.3207879337767495,Delphinus,14,Delphinus,PMC_12_A15
