Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,KnownSpecies,EncounterNumber
0.23443597602073213,0.07353598712838778,0.02408801623452028,0.35335839882060044,0.16087280357415398,0.041420190364868714,0.112288627856737,S_clymene,0,Delphinus,PMC_12_A15
0.1535777745679168,0.08267619298431288,0.028697878625181233,0.37369350431949233,0.16642786690378622,0.07158312836729484,0.12334365423201613,S_clymene,1,Delphinus,PMC_12_A15
0.12479708195607335,0.1094579431498758,0.01921005257741679,0.3901854503208999,0.15018596117709684,0.06949061337814648,0.13667289744049121,S_clymene,2,Delphinus,PMC_12_A15
0.46425790442789777,0.10981602183836875,0.04209997979378457,0.0348564401446075,0.04267983140033179,0.09381869639981054,0.212471125995199,Delphinus,3,Delphinus,PMC_12_A15
0.5295259797651501,0.07343686976940833,0.010715732426524651,0.048005539861848995,0.025753815987598433,0.06151979736399986,0.2510422648254698,Delphinus,4,Delphinus,PMC_12_A15
0.6999041767262353,0.03888505661356432,0.024336493793071828,0.02067711346502696,0.06420417523736732,0.11758537860844745,0.03440760555628679,Delphinus,5,Delphinus,PMC_12_A15
0.1669296628113044,0.07465780046251173,0.0200776773868544,0.38272465103949593,0.16493225146012017,0.05052314813795791,0.14015480870175565,S_clymene,6,Delphinus,PMC_12_A15
0.4256876277868507,0.08864550231187308,0.03733442274573561,0.0510406803158194,0.05057795910567607,0.06502135974838316,0.28169244798566245,Delphinus,7,Delphinus,PMC_12_A15
0.43346205892271084,0.09583527635231616,0.02244591631791993,0.043329209796891074,0.035657325150759304,0.09081807019841119,0.2784521432609916,Delphinus,8,Delphinus,PMC_12_A15
0.29707880664922065,0.17106195513150738,0.03512308352811019,0.09675099801163844,0.058536849367319656,0.08000730716516005,0.26144100014704375,Delphinus,9,Delphinus,PMC_12_A15
0.575840008963211,0.021757645654612127,0.011783385236134451,0.014242075133403925,0.026378856181816446,0.14048338012669623,0.20951464870412603,Delphinus,10,Delphinus,PMC_12_A15
0.4596462548361348,0.02858381311476784,0.03538254357565763,0.024091058680523334,0.04285885836699191,0.37561216544297493,0.033825305982949715,Delphinus,11,Delphinus,PMC_12_A15
0.6962712607793781,0.015235475401963954,0.015430579111402007,0.08564314872546816,0.027305260133348466,0.14070310714019135,0.019411168708248036,Delphinus,12,Delphinus,PMC_12_A15
0.5793899943050292,0.044076014741667634,0.021720456148085515,0.06033304653504835,0.0411369041165286,0.20910768840267388,0.04423589575096695,Delphinus,13,Delphinus,PMC_12_A15
0.36383148885534217,0.18699993039614174,0.03441486389989738,0.060270759122070944,0.0450637642370561,0.07806888460833848,0.2313503088811535,Delphinus,14,Delphinus,PMC_12_A15
0.4560799052579106,0.13264629672718167,0.02217231096292828,0.08284834634293475,0.11648392401610008,0.098838596752923,0.09093061994002191,Delphinus,15,Delphinus,PMC_12_A15
