Delphinus_LOGO_IND,S_attenuata_LOGO_IND,S_bredanensis_LOGO_IND,S_clymene_LOGO_IND,S_frontalis_LOGO_IND,S_longirostris_LOGO_IND,T_truncatus_LOGO_IND,Species_Classification,UID,EncounterNumber,KnownSpecies
0.14730026526270598,0.041727406353372465,0.03463206044744414,0.4403273416358951,0.1708660360331112,0.051694584435559875,0.11345230583191136,S_clymene,0,PMC_12_A15,Delphinus
0.1780832915742148,0.08473178166323773,0.04724897096978377,0.41072716368746576,0.10017637181537296,0.05942584815668403,0.11960657213324129,S_clymene,1,PMC_12_A15,Delphinus
0.12260225864499488,0.123079881928168,0.032738646176751915,0.3770293039156998,0.11701058116479844,0.07133552346488806,0.15620380470469902,S_clymene,2,PMC_12_A15,Delphinus
0.3776883128719135,0.097793216662059,0.044967608998835236,0.07049898998077822,0.0555945526894096,0.13375612424520952,0.21970119455179515,Delphinus,3,PMC_12_A15,Delphinus
0.21809569140939833,0.17163260874372874,0.02467545510905047,0.06828396816755088,0.037417331697458284,0.1663437866345859,0.31355115823822743,T_truncatus,4,PMC_12_A15,Delphinus
0.6769383937186305,0.022254226957910083,0.028278136860869513,0.04664015872408382,0.06157385960780797,0.10927459048226804,0.05504063364842977,Delphinus,5,PMC_12_A15,Delphinus
0.13594123894598736,0.07310624693078115,0.030860412228522652,0.40871710738570927,0.1605790701875333,0.060711919382770256,0.1300840049386962,S_clymene,6,PMC_12_A15,Delphinus
0.30478304748212803,0.14645153945153452,0.04574301937534285,0.11614201687282431,0.0635326616768152,0.1401524266187599,0.18319528852259562,Delphinus,7,PMC_12_A15,Delphinus
0.4030022386402346,0.17306163541252229,0.022987763462950776,0.05889138523758578,0.038500020641594246,0.14854364503102088,0.1550133115740918,Delphinus,8,PMC_12_A15,Delphinus
0.16203797627573813,0.14312626652226917,0.04070532338132803,0.14251970698000851,0.04660602324602045,0.1628893864850304,0.30211531710960554,T_truncatus,9,PMC_12_A15,Delphinus
0.27850629839458635,0.15298676171872103,0.02399132435279819,0.0727563429005754,0.044062573740000076,0.20201356884699379,0.22568313004632543,Delphinus,10,PMC_12_A15,Delphinus
0.3901569288673761,0.061325586779695254,0.027021821137819764,0.0574728427807558,0.04829356721618458,0.37217386380023587,0.04355538941793271,Delphinus,11,PMC_12_A15,Delphinus
0.6034662978976827,0.01301268673064215,0.018426551050424796,0.10372294032765085,0.03841023091455796,0.16807046835143155,0.05489082472760991,Delphinus,12,PMC_12_A15,Delphinus
0.6325260575411499,0.022895333501345264,0.017548741525905687,0.06370342340329918,0.056744882357615274,0.15689970924644653,0.04968185242423796,Delphinus,13,PMC_12_A15,Delphinus
0.23666666396404928,0.12902157419983282,0.04248805305408685,0.0841516127401737,0.06182536137442287,0.18330499593984464,0.26254173872758985,T_truncatus,14,PMC_12_A15,Delphinus
0.4463023391935435,0.08236604006501962,0.0503456075281689,0.0573715416418491,0.1324001177256156,0.09653292203392295,0.13468143181188016,Delphinus,15,PMC_12_A15,Delphinus
0.4333420608132924,0.1743876071004851,0.05591605080220682,0.09399260528004418,0.08071921394984582,0.06158383543737179,0.10005862661675421,Delphinus,16,PMC_12_A33,Delphinus
0.347356411369745,0.09572230949245535,0.030398732797832805,0.13474258874672362,0.04081489467397519,0.14859380961928817,0.20237125329997993,Delphinus,17,PMC_12_A33,Delphinus
0.44989299184493686,0.0849950915401318,0.014711062974977611,0.07387750736593653,0.03736628448751955,0.1832106831060456,0.15594637868045239,Delphinus,18,PMC_12_A33,Delphinus
0.33868267244257655,0.12050322698880515,0.07145078996802372,0.06281406675009471,0.12595059355828295,0.17930421623146128,0.10129443406075561,Delphinus,19,PMC_12_A33,Delphinus
