Delphinus_LOGO_IND,S_attenuata_LOGO_IND,S_bredanensis_LOGO_IND,S_clymene_LOGO_IND,S_frontalis_LOGO_IND,S_longirostris_LOGO_IND,T_truncatus_LOGO_IND,Species_Classification,UID,EncounterNumber,KnownSpecies
0.21223471455232035,0.040185277832482894,0.04315845096373573,0.4483860742560677,0.12089884950983845,0.05659775037038411,0.07853888251517094,S_clymene,0,PMC_12_A15,Delphinus
0.22090412487122757,0.06688030269944112,0.036354249996797525,0.40024376759900115,0.1200829772082848,0.08535284843190948,0.07018172919333876,S_clymene,1,PMC_12_A15,Delphinus
0.12363921259035703,0.10230101615281198,0.03468734022771631,0.43974696793517426,0.1209835267924392,0.07404570905267698,0.10459622724882447,S_clymene,2,PMC_12_A15,Delphinus
0.2931114399568851,0.14301889308292395,0.045041279554010494,0.06446393865807364,0.05947341633094549,0.09426780930017628,0.3006232231169859,T_truncatus,3,PMC_12_A15,Delphinus
0.2104600205447528,0.10908663544262688,0.027003761248179724,0.08069273583856347,0.025453608405538328,0.25681104098312174,0.29049219753721706,T_truncatus,4,PMC_12_A15,Delphinus
0.7382278412548163,0.020957673630550126,0.017982453483391156,0.04627894955946838,0.03608198452986075,0.1074489822152717,0.03302211532664159,Delphinus,5,PMC_12_A15,Delphinus
0.17396315391609782,0.05628283355359662,0.03312206695022158,0.47902919427863966,0.11371377002407573,0.07469127978610872,0.06919770149126037,S_clymene,6,PMC_12_A15,Delphinus
0.26877158298818493,0.1735442038475432,0.036746360038378514,0.06770424955574952,0.07271171183011943,0.12788478372627382,0.25263710801375144,Delphinus,7,PMC_12_A15,Delphinus
0.39012044624877434,0.12895479005414526,0.024303946620581194,0.033722223630566504,0.049092735178041406,0.12100763143711742,0.2527982268307748,Delphinus,8,PMC_12_A15,Delphinus
0.11265374952896123,0.16723335681329124,0.029011458738612904,0.09670776750721473,0.041577164080145126,0.19397730916622438,0.3588391941655507,T_truncatus,9,PMC_12_A15,Delphinus
0.3008334196394482,0.0822342186153986,0.02964521867511245,0.0641258003833628,0.025846861862381967,0.24926217504537193,0.24805230577892384,Delphinus,10,PMC_12_A15,Delphinus
0.42413011348044477,0.04863293502101637,0.015423559373687475,0.035872287875591734,0.040647920507547404,0.37830008746000265,0.05699309628170931,Delphinus,11,PMC_12_A15,Delphinus
0.7089281019714953,0.01423401904936969,0.020102036575321742,0.0358072873741586,0.02160567837096458,0.17188691048328736,0.027435966175403007,Delphinus,12,PMC_12_A15,Delphinus
0.6879157400874087,0.014911650432386276,0.015780678860145437,0.02691771310604378,0.015434179976793978,0.205139030557524,0.03390100697969778,Delphinus,13,PMC_12_A15,Delphinus
0.1753991411362693,0.16608503433974015,0.036342208868594426,0.09972837593178169,0.040640396616027724,0.1469891246362522,0.3348157184713349,T_truncatus,14,PMC_12_A15,Delphinus
0.41927414742732877,0.14282394584707775,0.04926701435060115,0.03830340551594083,0.22851441883235818,0.07136114828263784,0.050455919744055146,Delphinus,15,PMC_12_A15,Delphinus
0.35956014067534464,0.13578428984265858,0.06270362136390112,0.04200108272274876,0.24173203971464724,0.07549871148128226,0.08272011419941754,Delphinus,16,PMC_12_A33,Delphinus
0.2901690489639329,0.12811783311571243,0.021178567409132567,0.08725963187303515,0.05632210844100527,0.2388685450104232,0.17808426518675888,Delphinus,17,PMC_12_A33,Delphinus
