Delphinus_LOGO_EVENT,S_attenuata_LOGO_EVENT,S_bredanensis_LOGO_EVENT,S_clymene_LOGO_EVENT,S_frontalis_LOGO_EVENT,S_longirostris_LOGO_EVENT,T_truncatus_LOGO_EVENT,Species_Classification,UID,EncounterNumber,KnownSpecies
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,S_clymene,0,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,S_clymene,1,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,S_clymene,2,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,T_truncatus,3,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,T_truncatus,4,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,Delphinus,5,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,S_clymene,6,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,Delphinus,7,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,Delphinus,8,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,T_truncatus,9,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,Delphinus,10,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,Delphinus,11,PMC_12_A15,Delphinus
0.34128543438717324,0.09233542415090013,0.03087325528281798,0.15360817118783737,0.07079745000346015,0.15093897630839628,0.16016128867941495,Delphinus,12,PMC_12_A15,Delphinus
