Delphinus_LOGO_IND,S_attenuata_LOGO_IND,S_bredanensis_LOGO_IND,S_clymene_LOGO_IND,S_frontalis_LOGO_IND,S_longirostris_LOGO_IND,T_truncatus_LOGO_IND,Species_Classification,UID,EncounterNumber,KnownSpecies
0.218432177092064,0.05249675400533575,0.03738975426784101,0.4164920803828605,0.11649051547587089,0.04196545128608109,0.11673326748994692,S_clymene,0,PMC_12_A15,Delphinus
0.18533018190385506,0.06969397180265954,0.04640257318377354,0.3790582568312584,0.13292071855648935,0.06743841400266908,0.11915588371929534,S_clymene,1,PMC_12_A15,Delphinus
0.10705759536049093,0.10225054660435402,0.031610530191182346,0.4061669272421127,0.15654547560206164,0.07240255158576069,0.1239663734140379,S_clymene,2,PMC_12_A15,Delphinus
0.41961322263451767,0.10590943021459305,0.0393367188408744,0.05843607890103024,0.059921483531836316,0.08175494303914443,0.2350281228380041,Delphinus,3,PMC_12_A15,Delphinus
0.20233494648686082,0.1512321898663617,0.019800466119837268,0.059561750804452404,0.03679812626847164,0.1645830724816341,0.3656894479723821,T_truncatus,4,PMC_12_A15,Delphinus
0.7549218307781138,0.02585498124308024,0.01693279869105494,0.026003552298783473,0.05161796413197043,0.08197539848684018,0.04269347437015669,Delphinus,5,PMC_12_A15,Delphinus
0.17534271915734556,0.06889408940190216,0.03528542858881863,0.4187688613079395,0.13136211119421842,0.053628468127717786,0.11671832222205814,S_clymene,6,PMC_12_A15,Delphinus
0.309620513946847,0.154587069582537,0.03575016548660638,0.09058529730703298,0.06251181720395364,0.10527719038104766,0.24166794609197573,Delphinus,7,PMC_12_A15,Delphinus
0.4366819031686992,0.15235797189752084,0.018094327214604307,0.03903240235164794,0.03340896613054972,0.09230947993249158,0.22811494930448664,Delphinus,8,PMC_12_A15,Delphinus
0.11338957639104466,0.17284320067298276,0.03151364338546298,0.10995047130537097,0.05294344106642074,0.1318471898799964,0.3875124772987218,T_truncatus,9,PMC_12_A15,Delphinus
0.25168004585394876,0.1381317555723369,0.02206411734557946,0.05792774961579043,0.035263541639467266,0.1551895732440418,0.3397432167288354,Delphinus,10,PMC_12_A15,Delphinus
0.49695409638272087,0.04941150571899555,0.021817399677069152,0.03869051600644323,0.04133840520001007,0.31323387024829075,0.03855420676647022,Delphinus,11,PMC_12_A15,Delphinus
0.6786500752448628,0.017953380329744,0.015188868010629394,0.05434092306965227,0.034277654311298866,0.1680984827719157,0.03149061626189701,Delphinus,12,PMC_12_A15,Delphinus
0.6466382337865972,0.017093834204223557,0.01753207634733978,0.0372505894442954,0.031301515280359196,0.21283497552060154,0.03734877541658325,Delphinus,13,PMC_12_A15,Delphinus
0.1589423117895006,0.14145681674565208,0.03142655657533757,0.08386180574870568,0.05310596719827844,0.11413788339429087,0.4170686585482349,T_truncatus,14,PMC_12_A15,Delphinus
0.3907800915593256,0.2124319350793539,0.04317222734062385,0.04907008047878842,0.17597754522435066,0.0643573878291394,0.0642107324884182,Delphinus,15,PMC_12_A15,Delphinus
0.451872493290271,0.16822656881867787,0.059078972017798125,0.0578523105052724,0.09835351075185746,0.06356913601910179,0.10104700859702143,Delphinus,16,PMC_12_A33,Delphinus
0.30047623610274715,0.08938899748623959,0.02429552069953814,0.12046634699856221,0.05093354072347354,0.19613236502973572,0.21830699295970377,Delphinus,17,PMC_12_A33,Delphinus
0.4167695305231581,0.06916277618492918,0.011545616126459133,0.0580783090586405,0.03970670362739357,0.2616293929314606,0.14310767154795898,Delphinus,18,PMC_12_A33,Delphinus
0.31164958519340774,0.13364486273819534,0.08232488320349689,0.03924974163634578,0.18740066548146436,0.14993686435116366,0.09579339739592635,Delphinus,19,PMC_12_A33,Delphinus
0.2766211936286367,0.1332754919733355,0.03558082245157743,0.15213889316605378,0.1852163901104981,0.07436422921559463,0.14280297945430404,S_clymene,20,PMC_12_A33,Delphinus
0.3117722451793542,0.12371623358657044,0.0768498540454679,0.03818564068827961,0.1994119037924155,0.1552343200333537,0.09482980267455884,Delphinus,21,PMC_12_A33,Delphinus
0.34954149663730216,0.10626578839356945,0.0724728197755479,0.045733414287638136,0.17524123697784147,0.16112836791692636,0.08961687601117473,Delphinus,22,PMC_12_A33,Delphinus
0.04178243472730504,0.19585843293911206,0.02194051504119244,0.03070622174068901,0.40724117645609725,0.11927647139926618,0.18319474769633812,S_frontalis,23,PMC_12_A33,Delphinus
0.11250243237641655,0.14591459026311865,0.07496727165936493,0.018928400431126435,0.4475005741454803,0.09542390216836413,0.10476282895612901,S_frontalis,24,PMC_12_A33,Delphinus
0.033191475218588264,0.2514000502044154,0.28425066410000305,0.034295520591992965,0.15173664864294487,0.04055809735476738,0.20456754388728798,S_attenuata,25,PMC_12_A33,Delphinus
0.013259201283936687,0.028772981603978082,0.6512396708029373,0.0454742890470501,0.14047513505884573,0.01664545049391376,0.10413327170933846,S_bredanensis,26,PMC_12_A33,Delphinus
0.008519270892497093,0.014171969443993338,0.8450287679740436,0.03138892288880251,0.03836144695394709,0.008748917516292176,0.0537807043304242,S_bredanensis,27,PMC_12_A33,Delphinus
0.06319890020496802,0.0856003629519997,0.02791442685771337,0.006221783270912521,0.6110022006406214,0.09866380362604786,0.10739852244773718,S_frontalis,28,PMC_12_A33,Delphinus
