Delphinus_LOGO_EVENT,S_attenuata_LOGO_EVENT,S_bredanensis_LOGO_EVENT,S_clymene_LOGO_EVENT,S_frontalis_LOGO_EVENT,S_longirostris_LOGO_EVENT,T_truncatus_LOGO_EVENT,Species_Classification,UID,EncounterNumber,KnownSpecies
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,S_clymene,0,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,S_clymene,1,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,S_clymene,2,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,3,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,T_truncatus,4,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,5,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,S_clymene,6,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,7,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,8,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,T_truncatus,9,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,10,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,11,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,12,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,13,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,T_truncatus,14,PMC_12_A15,Delphinus
0.33213108129277086,0.09616079960130244,0.03329121847875522,0.1611847403988691,0.07709957763051987,0.14269521019722825,0.15743737240055433,Delphinus,15,PMC_12_A15,Delphinus
0.1726472026123173,0.12529359623825376,0.13784722458782958,0.07732971062127623,0.22076133356993108,0.10513749374125629,0.16098343862913583,Delphinus,16,PMC_12_A33,Delphinus
0.1726472026123173,0.12529359623825376,0.13784722458782958,0.07732971062127623,0.22076133356993108,0.10513749374125629,0.16098343862913583,Delphinus,17,PMC_12_A33,Delphinus
0.1726472026123173,0.12529359623825376,0.13784722458782958,0.07732971062127623,0.22076133356993108,0.10513749374125629,0.16098343862913583,Delphinus,18,PMC_12_A33,Delphinus
