Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Delphinus_LOGO_WH,S_attenuata_LOGO_WH,S_bredanensis_LOGO_WH,S_clymene_LOGO_WH,S_frontalis_LOGO_WH,S_longirostris_LOGO_WH,T_truncatus_LOGO_WH,Delphinus_LOGO_WE,S_attenuata_LOGO_WE,S_bredanensis_LOGO_WE,S_clymene_LOGO_WE,S_frontalis_LOGO_WE,S_longirostris_LOGO_WE,T_truncatus_LOGO_WE,EncounterNumber,KnownSpecies,UID
0.341214795443236,0.0409619895161725,0.023839278393144904,0.2860236125941288,0.11229981627170157,0.03965081865235888,0.1560096891292572,0.21989433651827822,0.04978089867433734,0.04007766035080466,0.4238930213395774,0.1228219118840174,0.0476118706702708,0.0959203005627141,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,0
0.3994672765188282,0.04611224903061406,0.036003423851371855,0.2604948812465059,0.1293488034686081,0.037636561669064136,0.09093680421500762,0.18545426861257847,0.06268256167291551,0.045665583937962564,0.3639926532815768,0.14183726289281715,0.06691285734847871,0.13345481225367067,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,1
0.2342904159704539,0.12178747252262663,0.02674554406560812,0.30981232141602194,0.11847377779012866,0.07445023750746818,0.11444023072769245,0.10332565833988021,0.10109946881752278,0.03654232615955362,0.3958375976637439,0.15974546757208447,0.06751174554082862,0.13593773590638636,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,2
0.4944222160147708,0.1254611525255354,0.03054455519731688,0.05999865203450474,0.0420624105614235,0.07235564576445208,0.17515536790199643,0.43250097990317043,0.11950515020587682,0.03736744500828752,0.06330019540889487,0.06431315288087494,0.08125163718582874,0.20176143940706687,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,3
0.498333592550928,0.10706297395871,0.01456063905120596,0.05444304449514416,0.01996026499265518,0.11781450670533747,0.18782497824601888,0.24215390256146208,0.17508407418534905,0.01927609903029766,0.06663862070732159,0.040326190537462,0.1475760675453236,0.30894504543278395,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,4
0.6702849357712324,0.026100998639561057,0.016708368734617722,0.02290588038163392,0.07740868647656193,0.12893428632567944,0.05765684367071332,0.7512494206036783,0.0245132454710779,0.017021274811111757,0.029126752252775324,0.04831772375862086,0.09108088287697995,0.03869070022575604,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,5
0.3558746713418048,0.05607282424216196,0.03059382862407354,0.2899195016134546,0.11599265194016103,0.04930959710915848,0.10223692512918539,0.17499659672376403,0.06905576427221374,0.04326892642558486,0.39890115304964235,0.14385521773774812,0.05983566455525398,0.11008667723579299,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,6
0.43798519447997836,0.1419246714741081,0.02955445006847668,0.04980400938044418,0.04612600421684284,0.07717315504746222,0.21743251533268734,0.33265517340334355,0.161128470019943,0.0411202823091882,0.09067495437202137,0.059184367426700926,0.10640358776707207,0.20883316470173102,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,7
0.46254815698671453,0.11276351852799146,0.01452491847010814,0.028605572636477238,0.06075942552879758,0.07773888507632838,0.2430595227735825,0.4407041177160287,0.15489737837195464,0.0215378280218414,0.0430556721535172,0.03504450736422664,0.08965539913300805,0.2151050972394236,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,8
0.2599620570715116,0.18981878814340974,0.02505104192826064,0.12258053086549045,0.04768628811880568,0.10157618123834189,0.25332511263417984,0.1400270183021834,0.17594609065246064,0.0256074433525119,0.11962494833466253,0.0571307097719887,0.1278606837821799,0.3538031058040129,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,9
0.5403443225301138,0.0959756016974455,0.012758147030483622,0.03095964203477134,0.01617190131970788,0.09300679905825616,0.21078358632922142,0.2804491360081587,0.15356122597319646,0.02257663373683874,0.062127110373368245,0.03752366263620334,0.13857476060599588,0.3051874706662386,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,10
0.44633546164042653,0.03260081504706486,0.02930477129938302,0.01912117704030804,0.04369410585276988,0.38786625485876586,0.0410774142612816,0.48859976993618204,0.052288091787891955,0.020320174227438002,0.039019207412559084,0.03966502006804088,0.325255444393583,0.03485229217430484,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,11
0.6423588447298648,0.01946548107670856,0.01048026597556148,0.06254697445367055,0.01788987638920556,0.2099560842283757,0.03730247314661308,0.6742520644577507,0.01430519963369056,0.014219988605385519,0.05532578736505021,0.03568824378037258,0.1779314800284164,0.02827723612933396,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,12
0.6001945073233305,0.021725158926605058,0.0230776761949168,0.05864278837179833,0.03222201042635856,0.20836183481941156,0.055776023937579064,0.6464135657198915,0.01924374177995432,0.016088424889905258,0.04086832558541912,0.03140730159636266,0.21772399834151956,0.028254642086947456,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,13
0.3596368164040949,0.18944172300306006,0.01994920302621814,0.05082971335926704,0.055588694950391135,0.07479350277010992,0.2497603464868586,0.18237374842814508,0.16953778086566224,0.02872257179595088,0.09200796291084104,0.06311644345933068,0.11581705125330759,0.3484244412867625,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,14
0.45015564064338187,0.09085399227498023,0.03466817553597768,0.08739665295602042,0.13781483942119493,0.05909498742039876,0.14001571174804597,0.35445240044072723,0.20648849247134288,0.03202902065209552,0.056857058787658496,0.1608408447632265,0.05805878657710613,0.1312733963078431,0.35309388485470133,0.10681985217846184,0.028840105207172378,0.1463281888124143,0.07755112675812985,0.119941369850322,0.167425472338798,PMC_12_A15,Delphinus,15
0.4303153323012536,0.15575352487866495,0.08945733123352513,0.0635897963426578,0.10747449163961331,0.05006960873904622,0.1033399148652389,0.45273350004098223,0.15373134628605767,0.06599367318648094,0.06295073865369272,0.09697550876395872,0.06501484936378442,0.10260038370504324,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,16
0.3124264452769203,0.09785703483389706,0.0192504399106401,0.12712871046410013,0.05838780739291503,0.19730966680298392,0.18763989531854333,0.3370087318972007,0.09272005300273341,0.02039778001863558,0.11969010907654928,0.05336073224864276,0.2211737240962158,0.1556488696600223,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,17
0.39147495238104824,0.06051373784762075,0.012719929466664939,0.06896149125010109,0.05790371005802586,0.25325890895341735,0.1551672700431215,0.46031041178366827,0.06950817142419505,0.01691533859123686,0.05718969801861982,0.04027607964958468,0.25576033605161486,0.10003996448107999,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,18
0.3525102157974218,0.11511464987121071,0.07196509953833245,0.035831767797618104,0.21511545884010594,0.1470191841636776,0.062443623991633154,0.3073623774797463,0.1427994176672311,0.08018441132226672,0.042052098582939915,0.20569713898343908,0.1437485227847773,0.07815603317959956,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,19
0.2634841144367524,0.10867926817465696,0.03844815977390546,0.12448675369268303,0.2513737248969419,0.05974460163315738,0.15378337739190273,0.25956370078613844,0.13738281642685196,0.0360505475370891,0.14805381122921507,0.2069079965366109,0.07742438886176461,0.1346167386223299,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,20
0.4523553128818931,0.07448371130852013,0.06357083118536508,0.03074354007541032,0.17982444574854375,0.12866673623407518,0.07035542256619218,0.3203736720172524,0.11759561251131165,0.0683660821562635,0.03883139650024312,0.22202748011923762,0.15040962691368967,0.082396129782002,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,21
0.6252177172595695,0.05042123660174648,0.05268194383310306,0.025124358758900022,0.10543899415191135,0.08337803474199336,0.057737714652776016,0.3585999212497575,0.10679675851108997,0.06824902593206554,0.042896572125116286,0.18167816876766568,0.15256654306546485,0.08921301034884013,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,22
0.07800208673313248,0.18729759868830098,0.02805328575058354,0.02624412364892348,0.37113271404263765,0.1880806260960829,0.12118956504033888,0.04619486332816326,0.20186058847590513,0.0240118509447175,0.028805042665468922,0.42452454326647515,0.1161972294862228,0.15840588183304707,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,23
0.1884483707013997,0.06588823423592513,0.08962652886110169,0.020086502707532518,0.4416548760890195,0.10943604473136062,0.08485944267366068,0.11547565952011744,0.14205669882817515,0.08565455349652651,0.02254820618224566,0.459081383187684,0.0979994173458327,0.07718408143941846,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,24
0.18163972916256804,0.20698979114945865,0.22502758683403395,0.024283358471593762,0.14185117278572518,0.01835882913165266,0.20184953246496767,0.02843013626043716,0.2430925917333413,0.3024355398183289,0.03236671248121502,0.16036230672435461,0.04524962247062622,0.18806309051169662,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,25
0.16884012413368027,0.03883801955942122,0.4472671226730256,0.0176832432484235,0.22877848357872158,0.01611265653808296,0.0824803502686448,0.01030075094462868,0.03029082310817622,0.6799955504709256,0.04153854344234386,0.15025858942985287,0.01915894809376146,0.06845679451031109,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,26
0.10958222100480161,0.015387139475133838,0.7441892277668554,0.01186400631626436,0.07042027784043911,0.00950580763322696,0.03905131996327862,0.007399656755981041,0.0156832111727015,0.8722018533982254,0.02388519209381072,0.03589621884773066,0.00989993099380152,0.035033936737749086,0.18085337220588996,0.1375235247872368,0.14800299818796056,0.07139733431348494,0.24063579626593415,0.09996332132645994,0.12162365291303331,PMC_12_A33,Delphinus,27
