,Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Max_Score,Classification
0,0.10470150628975675,0.07944154418648379,0.07482647799605206,0.11816923692034778,0.4543453786823378,0.06322407005360753,0.10529178587141427,0.4543453786823378,S_frontalis_KFOLD_5
1,0.3563789558599465,0.09306161733763245,0.040900281645999195,0.013013315609001559,0.3235223193420368,0.0772149441498607,0.09590856605552289,0.3563789558599465,Delphinus_KFOLD_5
2,0.12934404467934382,0.13027125487002697,0.09620068892877043,0.1082270711081651,0.2854757627591117,0.06762620181164747,0.18285497584293453,0.2854757627591117,S_frontalis_KFOLD_5
3,0.09984726964800636,0.06533508830830499,0.08504584802394219,0.16552012193313348,0.4374795492349425,0.055232101626340714,0.09154002122532978,0.4374795492349425,S_frontalis_KFOLD_5
4,0.4406525010797563,0.18245747126417416,0.03069884598453811,0.06848259948188111,0.15303446190641484,0.05000419111476959,0.07466992916846597,0.4406525010797563,Delphinus_KFOLD_5
5,0.15743866369458212,0.09098155525401048,0.03266046512283964,0.18480483808011477,0.3735215175849946,0.06939988690638663,0.0911930733570718,0.3735215175849946,S_frontalis_KFOLD_5
6,0.2981971687436286,0.15278030083773483,0.0806826496819272,0.013505882264247057,0.33004436612893595,0.06125264980278924,0.06353698254073718,0.33004436612893595,S_frontalis_KFOLD_5
7,0.3626222036465716,0.2222821446804069,0.03253360952818214,0.04147192916999498,0.20475094904994537,0.06641852306571039,0.06992064085918863,0.3626222036465716,Delphinus_KFOLD_5
8,0.07446948390413585,0.11507515860577129,0.016562673716976728,0.3465075848008737,0.2557199177438198,0.031144067239105743,0.16052111398931687,0.3465075848008737,S_clymene_KFOLD_5
9,0.0051434467574467575,0.0014111531076071017,0.9302640812343945,0.0017423392372609766,0.00874263577863578,0.000332957792957793,0.052363386091697176,0.9302640812343945,S_bredanensis_KFOLD_5
