,Delphinus_LOGO_WH,S_attenuata_LOGO_WH,S_bredanensis_LOGO_WH,S_clymene_LOGO_WH,S_frontalis_LOGO_WH,S_longirostris_LOGO_WH,T_truncatus_LOGO_WH,Max_Score,Classification
0,0.192838322813113,0.2159655528147352,0.016167286058047577,0.15830116744471529,0.06064201750893494,0.054681021639245396,0.3014046317212088,0.3014046317212088,T_truncatus_LOGO_WH
1,0.026789146329081803,0.5253719235121486,0.010625184839175333,0.01269593889735315,0.33739627447697684,0.021351391004789867,0.06577014094047437,0.5253719235121486,S_attenuata_LOGO_WH
2,0.08004118874935573,0.299605819839536,0.051025030400941106,0.025813374787403663,0.29752109059742404,0.06732232838159456,0.17867116724374513,0.299605819839536,S_attenuata_LOGO_WH
3,0.022846547329212187,0.3219429760920235,0.025350222384180825,0.009798932442251987,0.4662162653760202,0.047528322093889866,0.1063167342824215,0.4662162653760202,S_frontalis_LOGO_WH
4,0.24894910776034673,0.15693592476598556,0.05299756719983206,0.13971739212683473,0.0882599018455684,0.11376324115763363,0.19937686514379907,0.24894910776034673,Delphinus_LOGO_WH
5,0.2538239980053489,0.20723368294378167,0.03236093447950842,0.11855344860752215,0.07697030560316317,0.0916166024018859,0.21944102795878995,0.2538239980053489,Delphinus_LOGO_WH
6,0.1761652392712844,0.11186944539497937,0.3532735586549791,0.10941389948629829,0.0775489704328492,0.0382618258032254,0.13346706095638433,0.3532735586549791,S_bredanensis_LOGO_WH
7,0.05951010157561244,0.2184969882917897,0.007032175434657622,0.10580173553396473,0.20986088589862956,0.21742477878624214,0.18187333447910387,0.2184969882917897,S_attenuata_LOGO_WH
8,0.10589907744832634,0.06980361125487974,0.022072628983984502,0.45351780914869055,0.16306488581849152,0.02605268029320218,0.1595893070524254,0.45351780914869055,S_clymene_LOGO_WH
9,0.06742492708764439,0.1497174496727138,0.011704663829098925,0.2501379974300558,0.3199248074245934,0.026761346737188364,0.17432880781870547,0.3199248074245934,S_frontalis_LOGO_WH
10,0.14069388086141507,0.3416351485483024,0.04951491153751052,0.10046470946342265,0.11770356029016513,0.06692432681503879,0.18306346248414546,0.3416351485483024,S_attenuata_LOGO_WH
11,0.09370386667400823,0.11988667388159235,0.025643487243787948,0.056200801608983365,0.46208530801820313,0.059977754344104815,0.18250210822932036,0.46208530801820313,S_frontalis_LOGO_WH
12,0.3554517432252574,0.12988586513351325,0.03871560570198844,0.1274108286075626,0.12633837045932303,0.07005643970750487,0.15214114716485053,0.3554517432252574,Delphinus_LOGO_WH
13,0.07831065979386645,0.12856465531019912,0.007447887055230922,0.3558933806146874,0.24739818697968108,0.03495293737574151,0.14743229287059384,0.3558933806146874,S_clymene_LOGO_WH
14,0.09245328801531147,0.06423627853432287,0.05422219950236688,0.05339345757310869,0.6240634194840154,0.027988883436066907,0.0836424734548079,0.6240634194840154,S_frontalis_LOGO_WH
15,0.04914156509670631,0.5361888069577972,0.0038577420015697902,0.13727732254165295,0.06833455004709994,0.07559763146954546,0.12960238188562845,0.5361888069577972,S_attenuata_LOGO_WH
16,0.03868903292358094,0.6012107918644831,0.003002417114469656,0.0956056937019993,0.11749448467989967,0.05400998604543013,0.08998759367013738,0.6012107918644831,S_attenuata_LOGO_WH
17,0.031567742554287355,0.5687251401081974,0.03322639195480381,0.01805558828977418,0.24460628750128524,0.025907458542827312,0.0779113910488248,0.5687251401081974,S_attenuata_LOGO_WH
18,0.03802402960851971,0.6518953828673358,0.00935170108392499,0.05271643437500591,0.13665398479417482,0.04282075949260953,0.06853770777842924,0.6518953828673358,S_attenuata_LOGO_WH
19,0.14156831190271923,0.3120698435110808,0.06634940263366586,0.05171049741006815,0.2285103761081418,0.04117925736473051,0.15861231106959378,0.3120698435110808,S_attenuata_LOGO_WH
20,0.0404212285303692,0.538465920336513,0.008310141271128198,0.02645087130487438,0.29514486733070755,0.03081672443428233,0.0603902467921254,0.538465920336513,S_attenuata_LOGO_WH
21,0.04683285129966204,0.5816496598849878,0.00804188747893178,0.07978280741856006,0.10269988160077759,0.05588186864676923,0.1251110436703114,0.5816496598849878,S_attenuata_LOGO_WH
22,0.04660667265945042,0.2156279115999315,0.004303786519398263,0.13367189814181063,0.08667121465972676,0.39679776236847397,0.11632075405120854,0.39679776236847397,S_longirostris_LOGO_WH
23,0.07163831656542699,0.15952740429252482,0.017353053760475884,0.005096519762709427,0.5429160428077267,0.02835900642443607,0.17510965638670056,0.5429160428077267,S_frontalis_LOGO_WH
24,0.0160940516886016,0.6755496642416199,0.003778895395326787,0.011254832422108531,0.20666631017002612,0.02703063755786413,0.05962560852445285,0.6755496642416199,S_attenuata_LOGO_WH
25,0.015428739309213605,0.8224067405667403,0.0024283794161459515,0.011382657280156827,0.08915058804842677,0.021928946608332667,0.037273948770983924,0.8224067405667403,S_attenuata_LOGO_WH
26,0.16634857553656307,0.08280224018266502,0.11811419920026205,0.025893681734870676,0.4647704475311845,0.06931638519355984,0.0727544706208951,0.4647704475311845,S_frontalis_LOGO_WH
27,0.2801826206306887,0.11005709180634722,0.09557609483187661,0.08557408366291064,0.21501531607812666,0.10242699610276731,0.11116779688728298,0.2801826206306887,Delphinus_LOGO_WH
28,0.033572428339833066,0.13910182930588808,0.01918011859491305,0.01955086827960709,0.6408696245266194,0.02366901764307809,0.12405611331006168,0.6408696245266194,S_frontalis_LOGO_WH
29,0.06825895671061119,0.21590894586781234,0.026271089098634064,0.12334807727188561,0.3209499465519113,0.0712849552300145,0.1739780292691312,0.3209499465519113,S_frontalis_LOGO_WH
