,Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Max_Score,Classification
0,0.0861417195902615,0.3897007676868236,0.022360606746447617,0.08958826455944405,0.10461334788897683,0.17018155461183065,0.13741373891621578,0.3897007676868236,S_attenuata_KFOLD_5
1,0.11247790242767781,0.1160811769575703,0.01583569230268495,0.10341497696324682,0.3898051862354574,0.09942271833524645,0.16296234677811636,0.3898051862354574,S_frontalis_KFOLD_5
2,0.07562318748563866,0.11480116167269046,0.01689477438780402,0.06558670250433561,0.514614585237544,0.06209332181192985,0.15038626690005735,0.514614585237544,S_frontalis_KFOLD_5
3,0.014472719216956743,0.8200485642521347,0.003311944776557644,0.014311292513351679,0.04980793096943956,0.05685962356806198,0.04118792470349773,0.8200485642521347,S_attenuata_KFOLD_5
4,0.220149532361253,0.17449967215748768,0.04218850612950283,0.017126674298666055,0.33612767607872013,0.09857779492022724,0.11133014405414313,0.33612767607872013,S_frontalis_KFOLD_5
5,0.08684486015614169,0.13315765556322562,0.021574209292560462,0.12951373399591043,0.37773880922082576,0.08089286649259074,0.1702778652787453,0.37773880922082576,S_frontalis_KFOLD_5
6,0.04843222372713151,0.0875684298863065,0.011352165425107955,0.024222916801469496,0.7204049609970149,0.0333710638445407,0.07464823931842902,0.7204049609970149,S_frontalis_KFOLD_5
7,0.15096857718269147,0.16950016621721786,0.009847946276177978,0.1489374636120425,0.27397401641571467,0.07277136635720885,0.1740004639389467,0.27397401641571467,S_frontalis_KFOLD_5
8,0.08860930388466379,0.4761987400079949,0.030262349932612446,0.02057755933416645,0.195569583432456,0.030109972914710414,0.158672490493396,0.4761987400079949,S_attenuata_KFOLD_5
9,0.1621324332115784,0.12371075264159526,0.018522157652080967,0.16913204321939487,0.27936671850156036,0.10427865010956058,0.14285724466422958,0.27936671850156036,S_frontalis_KFOLD_5
10,0.19161294656815503,0.3690304217843391,0.007911236215920839,0.0801221004727958,0.1759149906104569,0.05685878847064193,0.11854951587769043,0.3690304217843391,S_attenuata_KFOLD_5
11,0.05742642772353641,0.5006768203125004,0.044544210764398864,0.09046958956447845,0.09634647455394248,0.11837220332047767,0.09216427376066574,0.5006768203125004,S_attenuata_KFOLD_5
12,0.1307294249492809,0.11623488018045994,0.018123766770189967,0.10690183394523456,0.3705789113644621,0.09313860920620784,0.16429257358416471,0.3705789113644621,S_frontalis_KFOLD_5
13,0.07042220534131047,0.09012574070857053,0.02121986832122301,0.06914507740224643,0.5500044094829717,0.059254207037899964,0.13982849170577802,0.5500044094829717,S_frontalis_KFOLD_5
14,0.018069664008798194,0.47297384782414775,0.020194260597309235,0.004588494552852757,0.3972256294554101,0.01691923019209092,0.07002887336939095,0.47297384782414775,S_attenuata_KFOLD_5
15,0.012277897526074787,0.7589364556051841,0.006629557991559186,0.022004414005402834,0.06700396229621129,0.045270679957809076,0.08787703261775881,0.7589364556051841,S_attenuata_KFOLD_5
16,0.18270153805927253,0.2526065409649021,0.025997545855154125,0.07561106083526284,0.07243474329902433,0.07434930504837386,0.3162992659380102,0.3162992659380102,T_truncatus_KFOLD_5
17,0.10382711804599298,0.11906199887080844,0.04122949664247633,0.01749294597678209,0.5017245967242706,0.11151816958836092,0.10514567415130867,0.5017245967242706,S_frontalis_KFOLD_5
18,0.10970457091327217,0.2997424567439619,0.007842896082756418,0.2080536857140003,0.035419579108203515,0.0672359281809036,0.27200088325690214,0.2997424567439619,S_attenuata_KFOLD_5
19,0.18971231941440383,0.1307016937649432,0.023386927594460948,0.15608754394472166,0.15996462795831953,0.158386921021339,0.18175996630181182,0.18971231941440383,Delphinus_KFOLD_5
20,0.19797250368069422,0.20765880888833563,0.01725720968459689,0.13929286475017552,0.03793411614659721,0.10710657281234737,0.29277792403725317,0.29277792403725317,T_truncatus_KFOLD_5
21,0.1234608205336917,0.0930634640845782,0.031015348575321372,0.09621846854872607,0.4287708247630051,0.07326068980426108,0.15421038369041656,0.4287708247630051,S_frontalis_KFOLD_5
22,0.024245136070906868,0.5493500498736102,0.017742736902831603,0.013499377000522766,0.28948836161091995,0.016701902662834934,0.08897243587837364,0.5493500498736102,S_attenuata_KFOLD_5
23,0.06921924720216584,0.31945123976433476,0.014528554659565204,0.1500551035275683,0.2056751274687112,0.06989934809925796,0.17117137927839676,0.31945123976433476,S_attenuata_KFOLD_5
24,0.11513454288721411,0.12297752723569169,0.018406603420371183,0.05483840414230941,0.4532191143242251,0.09586103397748816,0.1395627740127004,0.4532191143242251,S_frontalis_KFOLD_5
25,0.0492610479731053,0.33420839633502436,0.022379639869919987,0.08263709865613086,0.37181277217730047,0.050749405943534096,0.08895163904498493,0.37181277217730047,S_frontalis_KFOLD_5
26,0.13402690213958265,0.19181352419597006,0.06412706810059318,0.050859209109227296,0.35531687283616903,0.06357059109684877,0.14028583252160903,0.35531687283616903,S_frontalis_KFOLD_5
27,0.04438849982975436,0.09887868823471316,0.011412369084612874,0.06502807266281277,0.6344373996726659,0.02307246233436734,0.12278250818107377,0.6344373996726659,S_frontalis_KFOLD_5
