,Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Max_Score,Classification
0,0.05208069809754323,0.10175145952463335,0.019338369266626066,0.42100883759418223,0.056426691832280176,0.18876249004726037,0.16063145363747455,0.42100883759418223,S_clymene_KFOLD_5
1,0.24186312005311442,0.06969212420430934,0.10220852325528404,0.0890622547113612,0.29302339640640485,0.11942917074082286,0.08472141062870327,0.29302339640640485,S_frontalis_KFOLD_5
2,0.10176164722211381,0.1286627407656684,0.05503671202947312,0.06811019233831248,0.473406236965536,0.058625940463984484,0.11439653021491178,0.473406236965536,S_frontalis_KFOLD_5
3,0.08181046847534944,0.14392770249775017,0.006096905099148055,0.2871459692720387,0.028032577214605014,0.25113608104800483,0.2018502963931037,0.2871459692720387,S_clymene_KFOLD_5
4,0.07240301415365569,0.3583491163486077,0.0033747966563203065,0.2635514054967613,0.11169120238818109,0.07803507551471779,0.11259538944175602,0.3583491163486077,S_attenuata_KFOLD_5
5,0.06516502941129568,0.06130530698661788,0.0111446417662882,0.4714308870150834,0.02746808128465423,0.24290190172832782,0.12058415180773285,0.4714308870150834,S_clymene_KFOLD_5
6,0.31513833384462997,0.11119071367015607,0.10468271590431158,0.171394643779419,0.08463259175599752,0.05526442239891137,0.15769657864657455,0.31513833384462997,Delphinus_KFOLD_5
7,0.16686445657130838,0.12343438520812762,0.03425048222876263,0.240510455570216,0.03992558380798352,0.17739156623262783,0.21762307038097406,0.240510455570216,S_clymene_KFOLD_5
8,0.05790230302877595,0.10696389564570855,0.00882802301016052,0.4706291977596465,0.12101414229459465,0.11731814685906301,0.11734429140205083,0.4706291977596465,S_clymene_KFOLD_5
9,0.17782835314532042,0.10059950572471525,0.2445659833530526,0.07522588612478924,0.14284013588600772,0.08464777570856755,0.17429236005754728,0.2445659833530526,S_bredanensis_KFOLD_5
10,0.10683355427556789,0.02678726283872465,0.5906526074061783,0.06170927763668203,0.04005662859485819,0.05000430313038723,0.12395636611760175,0.5906526074061783,S_bredanensis_KFOLD_5
11,0.03680577914979105,0.07255168223901895,0.0015850416758039464,0.7262364202965254,0.040839720369747805,0.054965340925452286,0.06701601534366071,0.7262364202965254,S_clymene_KFOLD_5
12,0.0847613536552475,0.09201988911169338,0.011366218164922033,0.43010716776183866,0.0925669490350138,0.20553410020238552,0.08364432206889914,0.43010716776183866,S_clymene_KFOLD_5
13,0.16625440087946047,0.04533302403934043,0.17640889326442993,0.22719339848594577,0.08758595479942911,0.10893034148298124,0.1882939870484131,0.22719339848594577,S_clymene_KFOLD_5
14,0.04137170897836035,0.03278907187036541,0.0042246319371665435,0.5527533918612642,0.03250031781179562,0.23085093095988812,0.1055099465811599,0.5527533918612642,S_clymene_KFOLD_5
