,Delphinus_LOGO_WH,S_attenuata_LOGO_WH,S_bredanensis_LOGO_WH,S_clymene_LOGO_WH,S_frontalis_LOGO_WH,S_longirostris_LOGO_WH,T_truncatus_LOGO_WH,Max_Score,Classification
0,0.2207547364770262,0.1845115261409786,0.03285402988665417,0.09367044442433661,0.1006314516544898,0.15203900704362922,0.21553880437288572,0.2207547364770262,Delphinus_LOGO_WH
1,0.10072221267589083,0.17275469845871366,0.023596451408560384,0.08062816088127855,0.40400376127811494,0.07844880675655255,0.1398459085408895,0.40400376127811494,S_frontalis_LOGO_WH
2,0.03996239878400639,0.22019749892682655,0.017482517867974483,0.016063500389818675,0.4861663996242031,0.05479328473352596,0.16533439967364497,0.4861663996242031,S_frontalis_LOGO_WH
3,0.259158192438777,0.07810494416407351,0.09300169507184133,0.026505859139843824,0.34664165854962026,0.09005458203078368,0.10653306860506069,0.34664165854962026,S_frontalis_LOGO_WH
4,0.12387666660663688,0.17395332918406123,0.03744262575538758,0.19882335073143148,0.18107232263374184,0.044772392115453565,0.24005931297328748,0.24005931297328748,T_truncatus_LOGO_WH
5,0.026825660086986735,0.3206329796688659,0.008017684957882286,0.004798848952813808,0.3972049115524635,0.018340500991886933,0.2241794137891009,0.3972049115524635,S_frontalis_LOGO_WH
6,0.03523260348845277,0.31877591103188746,0.009426519933776207,0.004526833294785806,0.40433934233502544,0.021528738675787567,0.2061700512402848,0.40433934233502544,S_frontalis_LOGO_WH
7,0.027862220231743784,0.24256962232199225,0.009102658212723923,0.015056895893453992,0.5541271413652823,0.024230262942176915,0.12705119903262696,0.5541271413652823,S_frontalis_LOGO_WH
8,0.10888185469397318,0.284221188283036,0.02000134367142997,0.07910017140740747,0.19785744775363365,0.07552632043539001,0.23441167375512997,0.284221188283036,S_attenuata_LOGO_WH
9,0.24965973663502133,0.08262758109117055,0.16233296984168927,0.058613065614232254,0.261032546450717,0.12070021435011083,0.06503388601705887,0.261032546450717,S_frontalis_LOGO_WH
10,0.1297979991304153,0.1310543685995728,0.019006636410329566,0.2544279608435251,0.21771999965316277,0.054188088485556465,0.1938049468774383,0.2544279608435251,S_clymene_LOGO_WH
11,0.14304780113075996,0.08719760200088675,0.04359997011309242,0.06597786739680585,0.38723445079616203,0.15136428167187485,0.12157802689041856,0.38723445079616203,S_frontalis_LOGO_WH
12,0.47858661635998434,0.08904027213005498,0.04701639001416222,0.024851983663357384,0.21632401800516474,0.051022037950710385,0.09315868187656615,0.47858661635998434,Delphinus_LOGO_WH
